,POSITION,HEIGHT,WEIGHT,PLAYER,AGE,Injury Status,INJURY COUNT,GAMES MISSED,INJURY TYPE,TEAM
57,D,"6'1""",196,Bartkowski Matt,31,Not Injured,,,,
58,C,"6'0""",187,Barzal Mathew,22,Not Injured,,,,
59,RW,"6'4""",207,Bastian Nathan,21,Injured,1.0,14.0,Upper body,New Jersey
60,RW,"6'1""",187,Batherson Drake,21,Not Injured,,,,
61,D,"6'1""",195,Bayreuther Gavin,25,Not Injured,,,,
62,C,"6'3""",210,Beagle Jay,33,Injured,1.0,24.0,Arm,Vancouver
63,D,"6'1""",173,Bean Jake,21,Not Injured,,,,
64,D,"5'11""",198,Bear Ethan,22,Not Injured,,,,
65,D,"6'2""",200,Beaulieu Nathan,26,Injured,1.0,4.0,Upper body,Buffalo
66,LW,"5'11""",182,Beauvillier Anthony,22,Not Injured,,,,
67,LW,"6'0""",203,Beleskey Matt,31,Not Injured,,,,
68,C,"6'0""",198,Bellemare Pierre-Edouard,34,Not Injured,,,,
69,D,"5'11""",193,Belpedio Louie,23,Not Injured,,,,
70,D,"5'11""",172,Bengtsson Lukas,25,Not Injured,,,,
71,LW,"6'2""",205,Benn Jamie,29,Injured,2.0,1.0,Upper body,Dallas
72,LW,"6'2""",205,Benn Jamie,29,Injured,2.0,2.0,Upper body,Dallas
73,D,"6'2""",199,Benn Jordie,31,Not Injured,,,,
74,C,"6'1""",195,Bennett Sam,23,Injured,2.0,2.0,Upper body,Calgary
75,C,"6'1""",195,Bennett Sam,23,Injured,2.0,5.0,Upper body,Calgary
76,D,"6'1""",203,Benning Matt,25,Injured,1.0,4.0,Upper body,Edmonton
77,D,"6'3""",189,Benoit Simon,20,Not Injured,,,,
78,C,"6'1""",195,Bergeron Patrice,33,Injured,1.0,16.0,Sternoclavicular,Boston
79,LW,"6'4""",219,Berglund Patrik,31,Injured,1.0,5.0,Upper body,Buffalo
80,G,"6'0""",184,Bernier Jonathan,30,Injured,1.0,4.0,Upper body,Detroit
81,LW,"6'0""",190,Bertuzzi Tyler,24,Injured,1.0,7.0,Upper body,Detroit
82,G,"6'1""",176,Berube Jean-Francois,27,Not Injured,,,,
83,G,"6'3""",205,Bibeau Antoine,25,Not Injured,,,,
84,D,"5'10""",199,Biega Alex,31,Not Injured,,,,
85,D,"6'1""",197,Bieksa Kevin,38,Not Injured,,,,
86,G,"6'1""",174,Binnington Jordan,25,Not Injured,,,,
87,D,"6'0""",197,Bischoff Jake,24,Not Injured,,,,
88,G,"6'7""",215,Bishop Ben,32,Injured,4.0,2.0,Lower body,Dallas
89,G,"6'7""",215,Bishop Ben,32,Injured,4.0,4.0,Lower body,Dallas
90,G,"6'7""",215,Bishop Ben,32,Injured,4.0,5.0,Lower body,Dallas
91,G,"6'7""",215,Bishop Ben,32,Injured,4.0,6.0,Upper body,Dallas
92,C,"6'1""",199,Bishop Clark,23,Injured,1.0,8.0,Lower body,Carolina
93,D,"6'1""",210,Bitetto Anthony,28,Not Injured,,,,
94,LW,"6'0""",186,Bjork Anders,22,Not Injured,,,,
95,RW,"6'0""",177,Bjorkstrand Oliver,24,Not Injured,,,,
96,C,"6'6""",215,Bjugstad Nick,26,Injured,1.0,16.0,Upper body,Florida
97,C,"5'9""",190,Blackwell Colin,26,Not Injured,,,,
98,G,"6'4""",225,Blackwood Mackenzie,22,Injured,1.0,3.0,Lower body,New Jersey
99,LW,"6'2""",205,Blais Sammy,23,Injured,1.0,13.0,Lower body,St. Louis
100,LW,"6'0""",182,Blandisi Joseph,24,Not Injured,,,,
101,LW,"6'0""",201,Blidh Anton,24,Not Injured,,,,
102,LW,"6'0""",185,Blueger Teddy,24,Not Injured,,,,
103,G,"6'2""",182,Bobrovsky Sergei,30,Injured,1.0,1.0,Upper body,Columbus
