,POSITION,HEIGHT,WEIGHT,PLAYER,AGE,Injury Status
1053,C,72.0,190,Richardson Brad,34,Injured
1054,RW,71.0,186,Rieder Tobias,26,Injured
1055,D,73.0,221,Rielly Morgan,25,Not Injured
1056,D,72.0,189,Riikola Juuso,25,Not Injured
1057,LW,70.0,192,Rinaldo Zac,29,Injured
1058,G,77.0,217,Rinne Pekka,36,Not Injured
1059,D,76.0,218,Ristolainen Rasmus,24,Not Injured
1060,RW,76.0,220,Ritchie Brett,26,Injured
1061,LW,74.0,234,Ritchie Nick,23,Injured
1062,G,75.0,206,Rittich David,26,Injured
1063,RW,77.0,235,Robinson Buddy,27,Not Injured
1064,LW,74.0,201,Robinson Eric,24,Not Injured
1065,G,74.0,176,Robson Mat,23,Not Injured
1066,G,74.0,169,Robson Matt,23,Not Injured
1067,RW,74.0,189,Rodewald Jack,25,Injured
1068,RW,71.0,185,Rodin Anton,28,Not Injured
1069,LW,71.0,182,Rodrigues Evan,25,Injured
1070,C,74.0,190,Rooney Kevin,26,Not Injured
1071,D,73.0,195,Rosen Calle,25,Not Injured
1072,C,73.0,182,Roslovic Jack,22,Not Injured
1073,LW,71.0,199,Roussel Antoine,29,Injured
1074,RW,74.0,206,Rowney Carter,30,Injured
1075,LW,69.0,170,Roy Kevin,26,Not Injured
1076,D,73.0,200,Roy Matt,24,Not Injured
1077,C,76.0,209,Roy Nicolas,22,Not Injured
1078,LW,72.0,189,Roykas Marthinsen Kristian,19,Not Injured
1079,D,76.0,215,Rubins Kristians,21,Not Injured
1080,D,71.0,191,Ruhwedel Chad,29,Injured
1081,D,70.0,170,Russell Kris,32,Injured
1082,RW,73.0,205,Russell Patrick,26,Not Injured
1083,RW,71.0,192,Rust Bryan,27,Injured
1084,D,75.0,200,Rutta Jan,28,Not Injured
1085,C,76.0,209,Ruzicka Adam,20,Not Injured
1086,RW,74.0,209,Ryan Bobby,32,Injured
1087,C,70.0,185,Ryan Derek,32,Not Injured
1088,D,71.0,185,Ryan Joakim,26,Not Injured
