,PLAYER,TEAM,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,PROD,POS
866,Petan Nic,TOR/WPG,18,1,2,3,-5,7.633333333333333,193,10.7,45:49:00, C
867,Wilson Garrett,PIT,50,2,6,8,2,7.616666666666667,590,11.8,47:35:00, LW
868,Gaunce Brendan,VAN,3,1,2,3,3,7.616666666666667,37,12.3,7:36, C
869,Gettinger Tim,NYR,4,0,0,0,0,7.516666666666667,42,10.5,0:00, LW
870,McCormick Max,OTT,14,1,0,1,-6,7.5,153,10.9,105:00:00, LW
871,Blandisi Joseph,PIT/ANA,9,0,0,0,-1,7.45,100,11.1,0:00, C
872,Goulbourne Tyrell,PHI,2,0,0,0,0,7.416666666666667,23,11.5,0:00, LW
873,Donovan Matt,NSH,2,0,1,1,0,7.4,21,10.5,14:47, D
874,Archibald Darren,OTT/VAN,12,1,1,2,-3,7.383333333333334,138,11.5,44:15:00, LW
875,Gabriel Kurtis,NJ,22,2,2,4,0,7.366666666666666,254,11.5,40:33:00, RW
876,Beleskey Matt,NYR,4,1,0,1,1,7.366666666666666,42,10.5,29:29:00, LW
877,Richard Anthony,NSH,1,0,0,0,-1,7.366666666666666,12,12.0,0:00, C
878,Mamin Maxim,FLA,7,0,0,0,-2,7.35,79,11.3,0:00, C
879,MacEwen Zack,VAN,4,0,1,1,-4,7.183333333333334,47,11.8,28:44:00, C
880,Lindholm Anton,COL,2,0,0,0,-1,7.183333333333334,22,11.0,0:00, D
881,Soshnikov Nikita,STL,5,0,0,0,-1,7.166666666666667,57,11.4,0:00, RW
882,Rinaldo Zac,NSH,23,1,2,3,1,7.116666666666666,251,10.9,54:37:00, C
883,Kloos Justin,ANA,1,0,0,0,0,7.066666666666666,10,10.0,0:00, C
884,Rodewald Jack,OTT,6,0,0,0,0,7.066666666666666,54,9.0,0:00, RW
885,Rau Kyle,MIN,6,0,1,1,0,7.016666666666667,62,10.3,42:05:00, C
886,Lomberg Ryan,CGY,4,0,0,0,0,6.983333333333333,43,10.8,0:00, LW
887,Roy Nicolas,CAR,6,0,0,0,0,6.95,70,11.7,0:00, C
888,Marody Cooper,EDM,6,0,0,0,-1,6.916666666666667,59,9.8,0:00, C
889,Dano Marko,COL,8,0,0,0,-1,6.883333333333333,86,10.8,0:00, C
890,Vesalainen Kristian,WPG,5,0,1,1,0,6.833333333333333,50,10.0,34:12:00, LW
891,O'Connor Logan,COL,5,0,0,0,-2,6.816666666666666,49,9.8,0:00, RW
892,Toninato Dominic,COL,2,1,0,1,0,6.7,21,10.5,13:24, C
893,McLeod Cody,NYR/NSH,38,1,0,1,-13,6.483333333333333,363,9.6,246:26:00, LW
894,Greer A.J.,COL,15,1,1,2,-2,6.266666666666667,142,9.5,47:00:00, LW
895,Bailey Justin,PHI,11,0,1,1,0,5.733333333333333,98,8.9,63:05:00, RW
896,Aube-Kubel Nicolas,PHI,9,0,0,0,1,5.583333333333333,72,8.0,0:00, RW
897,Boucher Reid,VAN,1,0,0,0,0,5.466666666666667,10,10.0,0:00, C
898,Johnson Adam,PIT,6,0,2,2,2,5.3,55,9.2,15:55, C
899,Lazar Curtis,CGY,1,0,0,0,-1,4.8,9,9.0,0:00, RW
900,Peluso Anthony,CGY,4,0,0,0,-1,4.116666666666666,27,6.8,0:00, RW
901,MacKenzie Derek,FLA,1,0,0,0,0,2.716666666666667,4,4.0,0:00, C
902,Thorburn Chris,STL,1,0,0,0,0,1.8666666666666667,3,3.0,0:00, RW
903,Gilbert Dennis,CHI,1,0,0,0,0,12.766666666666667,17,17.0,0:00, D
904,Stillman Riley,FLA,1,0,0,0,0,11.366666666666667,19,19.0,0:00, D
905,Letestu Mark,CBJ,2,0,0,0,-1,9.333333333333334,27,13.5,0:00, C
