,Player,Team,Age,Height,Weight,GP,Injury Status,MP,Pos
216,Jae Crowder,UTA,28.0,6.5,235.0,80.0,Not Injured,26.1,SF
217,Jahlil Okafor,NOP,23.0,6.92,275.0,59.0,Injured,12.6,C
218,Jake Layman,POR,25.0,6.75,215.0,71.0,Not Injured,4.6,SF
219,Jakob Poeltl,SAS,23.0,7.0,230.0,77.0,Not Injured,18.6,C
220,Jalen Brunson,DAL,22.0,6.25,190.0,73.0,Not Injured,,
221,Jalen Jones,CLE,26.0,6.58,220.0,16.0,Not Injured,11.3,SF
222,Jamal Crawford,PHX,39.0,6.42,185.0,64.0,Injured,20.7,SG
223,Jamal Murray,DEN,22.0,6.33,207.0,75.0,Not Injured,31.7,PG
224,James Ennis III,PHI,28.0,6.58,210.0,58.0,Not Injured,,
225,James Harden,HOU,29.0,6.42,220.0,78.0,Injured,35.4,SG
226,James Johnson,MIA,32.0,6.67,240.0,55.0,Injured,26.6,PF
227,James Nunnally,HOU,28.0,6.58,208.0,15.0,Not Injured,,
228,Jared Dudley,BKN,33.0,6.58,237.0,59.0,Injured,14.3,PF
229,Jared Terrell,MIN,24.0,6.25,227.0,14.0,Not Injured,,
230,Jarell Martin,ORL,25.0,6.83,239.0,42.0,Injured,22.8,PF
231,Jaren Jackson Jr.,MEM,19.0,6.92,242.0,58.0,Not Injured,,
232,Jaron Blossomgame,CLE,25.0,6.67,220.0,27.0,Not Injured,,
233,Jarred Vanderbilt,DEN,20.0,6.75,214.0,17.0,Not Injured,,
234,Jarrett Allen,BKN,21.0,6.92,237.0,80.0,Injured,20.0,C
235,Jason Smith,NOP,33.0,7.0,240.0,20.0,Injured,8.6,C
236,Jawun Evans,OKC,22.0,6.0,190.0,8.0,Injured,16.2,PG
237,Jaylen Adams,ATL,23.0,6.17,190.0,34.0,Not Injured,,
238,Jaylen Brown,BOS,22.0,6.58,220.0,74.0,Injured,30.7,SG
239,Jaylen Morris,MIL,23.0,6.42,185.0,4.0,Injured,16.3,SG
240,Jayson Tatum,BOS,21.0,6.67,208.0,79.0,Not Injured,30.5,SF
241,Jeff Green,WAS,32.0,6.75,235.0,77.0,Not Injured,23.4,PF
242,Jeff Teague,MIN,31.0,6.17,195.0,42.0,Injured,33.0,PG
243,Jemerrio Jones,LAL,24.0,6.42,174.0,6.0,Not Injured,,
244,Jerami Grant,OKC,25.0,6.75,220.0,80.0,Not Injured,20.3,PF
245,Jeremy Lamb,CHA,27.0,6.42,185.0,79.0,Injured,24.6,SG
246,Jeremy Lin,TOR,30.0,6.25,200.0,74.0,Injured,25.0,PG
247,Jerian Grant,ORL,26.0,6.33,205.0,60.0,Not Injured,22.8,PG
248,Jerome Robinson,LAC,22.0,6.42,190.0,33.0,Not Injured,,
249,Jerryd Bayless,MIN,30.0,6.25,200.0,34.0,Injured,23.7,SG
250,Jevon Carter,MEM,23.0,6.17,196.0,39.0,Not Injured,,
251,Jimmer Fredette,PHX,30.0,6.17,195.0,6.0,Not Injured,,
252,Jimmy Butler,PHI,29.0,6.67,232.0,65.0,Injured,36.7,SG
253,Joakim Noah,MEM,34.0,6.92,230.0,42.0,Not Injured,5.7,C
254,Jodie Meeks,TOR,31.0,6.33,210.0,8.0,Not Injured,14.5,SG
255,Joe Chealey,CHA,23.0,6.25,190.0,1.0,Not Injured,,
256,Joe Harris,BKN,27.0,6.5,218.0,76.0,Injured,25.3,SG
257,Joe Ingles,UTA,31.0,6.67,226.0,82.0,Not Injured,31.4,SF
258,Joel Embiid,PHI,25.0,7.0,250.0,64.0,Injured,30.3,C
259,John Collins,ATL,21.0,6.83,235.0,61.0,Not Injured,24.1,PF
260,John Henson,CLE,28.0,6.92,219.0,14.0,Injured,25.9,C
261,John Holland,CLE,30.0,6.42,205.0,1.0,Injured,7.3,SF
262,John Jenkins,NYK,28.0,6.33,215.0,26.0,Not Injured,,
263,John Wall,WAS,28.0,6.33,210.0,32.0,Not Injured,34.4,PG
264,Johnathan Motley,LAC,24.0,6.83,230.0,22.0,Injured,16.0,PF
265,Johnathan Williams,LAL,24.0,6.75,228.0,24.0,Not Injured,,
266,Jon Leuer,DET,30.0,6.83,228.0,41.0,Injured,17.0,PF
267,Jonah Bolden,PHI,23.0,6.83,220.0,44.0,Not Injured,,
268,Jonas Jerebko,GSW,32.0,6.83,231.0,73.0,Not Injured,15.3,PF
269,Jonas Valanciunas,MEM,27.0,7.0,265.0,49.0,Injured,22.4,C
270,Jonathan Isaac,ORL,21.0,6.83,210.0,75.0,Injured,19.9,PF
271,Jonathon Simmons,PHI,29.0,6.5,195.0,56.0,Injured,29.4,SG
272,Jordan Bell,GSW,24.0,6.75,224.0,68.0,Injured,14.2,C
273,Jordan Clarkson,CLE,27.0,6.42,194.0,81.0,Not Injured,23.3,SG
274,Jordan Loyd,TOR,25.0,6.33,210.0,12.0,Not Injured,,
275,Jordan McRae,WAS,28.0,6.42,179.0,27.0,Not Injured,,
276,Jordan Sibert,ATL,26.0,6.33,187.0,1.0,Not Injured,,
277,Jose Calderon,DET,37.0,6.25,200.0,49.0,Not Injured,16.0,PG
278,Josh Hart,LAL,24.0,6.42,215.0,67.0,Injured,23.2,SG
279,Josh Jackson,PHX,22.0,6.67,200.0,79.0,Injured,25.4,SF
280,Josh Okogie,MIN,20.0,6.33,212.0,74.0,Not Injured,,
281,Josh Richardson,MIA,25.0,6.5,200.0,73.0,Injured,33.2,SF
282,Jrue Holiday,NOP,29.0,6.33,205.0,67.0,Injured,36.1,SG
283,Juancho Hernangomez,DEN,23.0,6.75,230.0,70.0,Not Injured,,
284,Julian Washburn,MEM,27.0,6.67,209.0,18.0,Not Injured,,
285,Julius Randle,NOP,24.0,6.75,250.0,73.0,Not Injured,26.7,C
286,Justin Anderson,ATL,25.0,6.5,230.0,48.0,Injured,13.7,SF
287,Justin Holiday,MEM,30.0,6.5,181.0,82.0,Not Injured,31.5,SG
288,Justin Jackson,DAL,24.0,6.67,210.0,81.0,Not Injured,22.1,SF
289,Justin Patton,PHI,22.0,7.0,241.0,3.0,Injured,4.0,C
290,Justise Winslow,MIA,23.0,6.58,225.0,66.0,Injured,24.7,PF
291,Jusuf Nurkic,POR,24.0,7.0,275.0,72.0,Injured,26.4,C
292,Kadeem Allen,NYK,26.0,6.25,200.0,19.0,Not Injured,5.9,PG
293,Kalin Lucas,DET,30.0,6.08,195.0,1.0,Not Injured,,
294,Karl-Anthony Towns,MIN,23.0,7.0,248.0,77.0,Not Injured,35.6,C
295,Kawhi Leonard,TOR,28.0,6.58,230.0,60.0,Injured,23.3,SF
296,Keita Bates-Diop,MIN,23.0,6.75,229.0,30.0,Not Injured,,
297,Kelly Olynyk,MIA,28.0,7.0,240.0,79.0,Injured,23.4,PF
298,Kelly Oubre Jr.,PHX,23.0,6.58,205.0,69.0,Not Injured,,
299,Kemba Walker,CHA,29.0,6.08,184.0,82.0,Injured,34.2,PG
300,Kenneth Faried,HOU,29.0,6.67,220.0,37.0,Not Injured,14.4,PF
301,Kenrich Williams,NOP,24.0,6.58,210.0,46.0,Not Injured,,
302,Kent Bazemore,ATL,29.0,6.42,201.0,67.0,Injured,27.5,SG
303,Kentavious Caldwell-Pope,LAL,26.0,6.42,205.0,82.0,Injured,33.2,SG
304,Kevin Durant,GSW,30.0,6.75,240.0,78.0,Injured,34.2,SF
305,Kevin Huerter,ATL,20.0,6.58,190.0,75.0,Not Injured,,
306,Kevin Knox,NYK,19.0,6.75,215.0,75.0,Not Injured,,
307,Kevin Love,CLE,30.0,6.83,251.0,22.0,Injured,28.0,C
308,Kevon Looney,GSW,23.0,6.75,220.0,80.0,Not Injured,13.8,C
309,Khem Birch,ORL,26.0,6.75,233.0,50.0,Not Injured,13.8,C
310,Khris Middleton,MIL,27.0,6.67,222.0,77.0,Not Injured,36.4,SF
311,Khyri Thomas,DET,23.0,6.25,210.0,26.0,Not Injured,,
312,Klay Thompson,GSW,29.0,6.58,215.0,78.0,Not Injured,34.3,SG
313,Kobi Simmons,CLE,21.0,6.33,170.0,1.0,Not Injured,20.1,PG
314,Kosta Koufos,SAC,30.0,7.0,245.0,42.0,Not Injured,19.6,C
315,Kostas Antetokounmpo,DAL,21.0,6.83,200.0,2.0,Not Injured,,
316,Kris Dunn,CHI,25.0,6.33,205.0,46.0,Injured,29.3,PG
317,Kyle Anderson,MEM,25.0,6.75,230.0,43.0,Not Injured,26.7,SF
318,Kyle Korver,UTA,38.0,6.58,212.0,70.0,Injured,21.6,SG
319,Kyle Kuzma,LAL,23.0,6.75,220.0,70.0,Injured,31.2,PF
320,Kyle Lowry,TOR,33.0,6.08,196.0,65.0,Not Injured,32.2,PG
321,Kyle O'Quinn,IND,29.0,6.83,250.0,45.0,Injured,18.0,C
322,Kyrie Irving,BOS,27.0,6.25,193.0,67.0,Injured,32.2,PG
323,LaMarcus Aldridge,SAS,33.0,6.92,260.0,81.0,Injured,33.5,C
324,Lance Stephenson,LAL,28.0,6.5,230.0,68.0,Not Injured,22.6,SG
325,Lance Thomas,NYK,31.0,6.67,240.0,46.0,Not Injured,18.5,PF
326,Landry Shamet,LAC,22.0,6.42,188.0,79.0,Not Injured,,
327,Langston Galloway,DET,27.0,6.17,200.0,80.0,Not Injured,14.9,SG
328,Larry Nance Jr.,CLE,26.0,6.75,230.0,67.0,Injured,,
329,Lauri Markkanen,CHI,22.0,7.0,240.0,52.0,Injured,29.7,PF
330,LeBron James,LAL,34.0,6.67,250.0,55.0,Not Injured,36.9,PF
331,Lonnie Walker IV,SAS,20.0,6.42,205.0,17.0,Not Injured,,
332,Lonzo Ball,LAL,21.0,6.5,190.0,47.0,Injured,34.2,PG
333,Lorenzo Brown,TOR,28.0,6.42,189.0,26.0,Not Injured,9.9,PG
334,Lou Williams,LAC,32.0,6.08,175.0,75.0,Injured,32.8,SG
335,Luc Mbah a Moute,LAC,32.0,6.67,230.0,4.0,Injured,25.6,PF
